id,location,Title,FIM_EnName
COLLECT1013700327,"5.427429999864543\,100.47325900000001","Pondok lrg 8\, tmn Guar Perahu","Pondok lrg 8\, tmn Guar Perahu"
COLLECT1013699879,"3.0678699999194325\,101.64788100000001",Army Camp Kinrara,Army Camp Kinrara
COLLECT1013700030,"3.030324999920375\,101.47353399999999",Razief's,Razief&#39;s
COLLECT1013700106,"2.8203299999256592\,102.34536700000001",Pos SRS,Pos SRS
COLLECT1013699865,"5.794931999856879\,102.494553",Lil rock suites office (ration store),Lil rock suites office (ration store)
COLLECT1013699828,"3.06630099991947\,101.49576600000003",Pejabat Pentadbiran PALAPES Udara UiTM,UiTM Air PALAPES Administration Office
COLLECT1013700526,"2.0403139999457087\,103.303177",8 Skuadron Regimen Askar Jurutera DiRaja (RAJD),8 Squadron Regiment Soldiers of Royal Engineers (RAJD)
COLLECT1013700923,"2.346658999937761\,102.830246",Balai Polis Bukit Kepong,Bukit Kepong Police Station
COLLECT1013700070,"6.181931999849141\,100.37735",Bilik SB,SB Room
COLLECT1013700565,"3.1797539999166307\,101.72520399999999",Pej Gaji Kem KEMENTAH,Ministry of Religious Affairs
COLLECT1013700963,"3.1593499999171324\,101.69006299999998,Sri City",Wisma Perwira Sri Kota,Pensions Officer Sri City
COLLECT1013700872,"3.766010999902286\,103.2146",Provos Republic,Provos Republic
COLLECT1013700202,"6.438209999844172\,100.191177",Bilik Gerakan Banjir Perlis,Perlis Flood Movement Room
COLLECT1013700861,"5.247315999868382\,100.273331",Wx's Secret Base,Wx's Secret Base
COLLECT1013701122,"2.4456599999352\,101.863571",Markas Askar Wataniah Politeknik Port Dickson,Port Dickson Polytechnic Headquarters
COLLECT1013700172,"3.229029999915416\,101.429337",Guard Post Lorong Gugusan Alam,Guard Post Lorong Gugusan Alam
COLLECT1013701083,"2.8544769999248025\,101.433105","Wisma Perwira\, PU Butterworth","Pensions Officer\, Butterworth"
COLLECT1013700083,"1.529348999959092\,103.82144899999999",Markas Salamander & Co,The Headquarters Of The Salamander & Co.
COLLECT1013700477,"2.652959999929902\,101.909767",Hangar PUSASDA,Hangar PUSASDA
COLLECT1013701092,"4.590839999882936\,101.084389",Balai Polis Pekan Baru,Pekan Baru Police Station
COLLECT1013700708,"3.0685199999194226\,101.405952",Pusat Latihan Polis Tentera,Military Police Training Center
COLLECT1013700624,"1.554106999958445\,104.23364300000003",Balai Polis Bandar Penawar Polis DiRaja Malaysia,The Royal Malaysian Police Referee Police Station
COLLECT1013700494,"3.1748069999167687\,101.72435",Pejabat Timbalan Menteri Pertahanan,Office of the Deputy Minister of Defense
COLLECT1013700718,"3.1321439999178327\,101.686646",Balai Polis Bergerak Briekfield,Briekfield Mobile Police Station
COLLECT1013700380,"5.765299999857491\,102.218102",KEM Askar Machang,KEM Machang
COLLECT1013700225,"5.234713999868663\,103.185951",Bilik Kebal,Vault
COLLECT1013701000,"5.796645999856845\,102.367775",Delta Force HQ,Delta Force HQ
COLLECT1013700763,"1.533429999959\,110.350182",Suite de Mantopian,Mantopian Suite
COLLECT1013700576,"2.737237999927762\,101.721321",Pintu utama,The main door
COLLECT1013700589,"6.521005999842612\,100.255478",Rejimen 504 Askar Wataniah,504 Regiment Territorial Army
COLLECT1013699943,"2.1688869999423597\,102.33642600000002",omy Fángjián,omy Fángjián
COLLECT1013700166,"3.2100799999158833\,101.704323",Super Secret Base (SSB),Super Secret Base (SSB)
COLLECT10132304706,"-2.9612859999221013\,104.745399",Macan lindungan,Tiger refuge
COLLECT10132304428,"-8.647979999808097\,115.238441",Dojo Honbu,Dojo Honbu
COLLECT10132397609,"48.50778200001876\,-2.7626630000000003",BDD Rennes (GSBDD RTNO),Database Rennes (GSBDD RTNO)
COLLECT10132397804,"48.36747700001956\,3.7704020000000003",Armée de L'Air,Air Force
COLLECT10132397218,"47.457821000024865\,-0.564123",Armée de Terre,Army
COLLECT10132397934,"43.11934300004857\,1.6081660000000002",Armée de Terre,Army
COLLECT10132396965,"44.61745500004109\,-1.1568770000000002",DIRSIM Toulon,DIRSIM
COLLECT10132397587,"41.38757300005535\,9.161283",DIRSIM Toulon,DIRSIM
COLLECT10132397516,"48.90919500001645\,2.454657",ONAC (Office National Anciens Combattants et Victimes de Guerre),ONAC (National Office veterans and War Victims)
COLLECT10132361951,"24.72749999991385\,67.889722",Shaikh Ali,Shaikh Ali
COLLECT10132397229,"45.28404200003743\,5.185378",Détachement du 22ème Régiment d'Infanterie,Detachment of the 22nd Infantry Regiment
COLLECT10132511251,"50.08058900001001\,19.917681",Jednostka Wojskowa 4495,Military Unit 4495
COLLECT10132456717,"28.450206999977695\,-16.29426",Agrupación de Apoyo Logístico AALOG 81,Logistic support Grouping AALOG 81
COLLECT10132456762,"38.00357800005957\,-1.1439499999999998",Rapsodia Innovation Center,Rapsodia Innovation Center
COLLECT10132397621,"44.145828000043565\,4.833833",Défense Mobilité,Mobility Defense
COLLECT10132456741,"41.94891000005341\,-7.43633",MORDOR,MORDOR
COLLECT10132456812,"39.48414600005946\,-0.56831",Grupo Anti-extorsión y secuestro,Anti-extortion and kidnapping Group
COLLECT10132456819,"40.08076900005861\,-2.189323",Centro Penitenciario,Prison
COLLECT10132304688,"3.5538079999074195\,98.62048300000001",Lapangan Tembak Naga Karimata,Field Firing Karimata Dragon
COLLECT10132304483,"-7.654660999822795\,111.528244",DENPOM V/1 MADIUN,DENPOM V / 1 MADIUN
COLLECT10132304812,"-7.562869999824262\,110.83116899999999",DENPOM (Polisi Militer),DENPOM (Military Police)
COLLECT10132304480,"-8.59426999980882\,116.106621",SIM CORNER SATPAS POLERS MATARAM,SIM CORNER SATPAS POLERS MATARAM
COLLECT10132304780,"-2.740749999927686\,107.63610100000001",Lanud H. AS Hanandjoeddin,Lanud H. AS Hanandjoeddin
COLLECT10132304714,"-6.9117489998354475\,107.616501,Bandung","Mess Kodam III Siliwangi\, Bandung","Kodam III Siliwangi Mess\, Bandung"
COLLECT10132304487,"-7.871226999819375\,112.535583",Mako BNN Kota Batu,Mako BNN Stone Town
COLLECT10132304425,"-6.274771999847343\,106.830368",The PENTAGON Headquarter,The PENTAGON Headquarter
COLLECT10132304610,"-6.335250999846175\,106.83951600000002",Mess Bintara,The Nco Mess
COLLECT10132304561,"1.5353989999589537\,124.922035",Pangkalan TNI AU Sam Ratulangi,Air Force Base Sam Ratulangi
COLLECT10132304798,"-6.376985999845362\,106.955414",Mix Martial Arts,Mix Martial Arts
COLLECT10132304811,"-8.281500999813222\,114.319374",Dusun Babakan,The Village Babakan
COLLECT10132304808,"0.9087259999756115\,104.46776599999998",Pos Depan ( RUDENIM Pusat ),Zip Front (RUDENIM Center)
COLLECT10132304702,"-6.218962999848424\,106.687004",Sim Keliling Tangerang,Sim Roving Tangerang
COLLECT10132304649,"-6.8120299998372404\,107.949272,Mayon",Mayon inf 301/PKS,Mayon inf 301 / PKS
COLLECT10132304569,"-6.885333999835904\,107.59690100000002",basecamp sukhoy,Basecamp Sukhoy
COLLECT10132304710,"-5.101249999871572\,120.15485400000001",Polsek Bulupoddo Polres Sinjai,Bulupoddo Polsek Polres Sinjai
COLLECT10132304559,"-6.174992999849288\,106.759064",Avicom Advertising,Avicom Advertising
COLLECT10132304696,"-6.2446539998479285\,106.89032000000002",Komplek TNI-AU Halim PK,Complex Of TNI-AU Halim PK
COLLECT10132304736,"-6.256399999847694\,106.779633",Kodim 05/04 Tanah Kusir,KODIM Coachman Land 05/04
COLLECT10132304730,"-6.213683999848517\,106.809135",The Fighting 21st FireBase,The Fighting 21st FireBase
COLLECT10132320547,"-8.610477999808584\,125.204742",Maubara Fort,Maubara Fort
COLLECT10132304763,"-6.624330999840686\,106.812614",Asrama DENPOM III/1,Dormitory DENPOM III/1
COLLECT10132304390,"-6.171965999849349\,106.79216",Kodim Jakarta Barat,Kodim Jakarta Barat
COLLECT10132304776,"-6.176579999849251\,106.831108,Jakarta",Komando Garnisun Tetap-1 Jakarta,Keep-Garrison Command 1 Jakarta
COLLECT10132304447,"-7.74924999982129\,113.215408",Satlantas Probolinggo Kabupaten,Satlantas Probolinggo Regency
COLLECT10132304499,"-7.78967499982063\,110.366837",DPD.Forum Gerakan Anak Bangsa.Jogyakarta,DPD. Forum Movement Nation. Jogyakarta
COLLECT10132304698,"-6.35097099984585\,107.28582799999998",Pilot line,Pilot line
COLLECT10132304427,"-3.016779999920721\,104.689461",kandang YVCI Palembang,enclosure YVCI Kilkenny
